loss,mean_absolute_error,val_loss,val_mean_absolute_error
10.467100143432617,10.467100143432617,8.122808456420898,8.122808456420898
8.371996879577637,8.371996879577637,6.647068977355957,6.647068977355957
7.674293518066406,7.674293518066406,7.293359279632568,7.293359279632568
7.275471210479736,7.275471210479736,7.768011093139648,7.768011093139648
6.937968730926514,6.937968730926514,6.2800188064575195,6.2800188064575195
6.713530540466309,6.713530540466309,7.429112434387207,7.429112434387207
6.499683380126953,6.499683380126953,7.254225254058838,7.254225254058838
6.347873687744141,6.347873687744141,5.110875129699707,5.110875129699707
6.219522953033447,6.219522953033447,4.634422302246094,4.634422302246094
6.081686019897461,6.081686019897461,5.343289852142334,5.343289852142334
5.9352216720581055,5.9352216720581055,4.800161361694336,4.800161361694336
5.823505401611328,5.823505401611328,4.840322971343994,4.840322971343994
5.732449531555176,5.732449531555176,5.130276203155518,5.130276203155518
5.6457719802856445,5.6457719802856445,4.3773884773254395,4.3773884773254395
5.526005744934082,5.526005744934082,4.265281677246094,4.265281677246094
5.454991817474365,5.454991817474365,4.211851596832275,4.211851596832275
5.360206604003906,5.360206604003906,4.070324420928955,4.070324420928955
5.270285129547119,5.270285129547119,4.944219589233398,4.944219589233398
5.252828598022461,5.252828598022461,4.277247905731201,4.277247905731201
5.171114444732666,5.171114444732666,4.030461311340332,4.030461311340332
5.133862495422363,5.133862495422363,3.713568687438965,3.713568687438965
5.08602237701416,5.08602237701416,3.930838108062744,3.930838108062744
5.041890621185303,5.041890621185303,4.609653949737549,4.609653949737549
4.9865403175354,4.9865403175354,4.07283353805542,4.07283353805542
4.943589687347412,4.943589687347412,3.532345771789551,3.532345771789551
4.894140243530273,4.894140243530273,3.7468225955963135,3.7468225955963135
4.809003829956055,4.809003829956055,3.261995792388916,3.261995792388916
4.7609710693359375,4.7609710693359375,4.2670440673828125,4.2670440673828125
4.711939334869385,4.711939334869385,4.536333084106445,4.536333084106445
4.706820011138916,4.706820011138916,3.5022857189178467,3.5022857189178467
